2026-09-21T15:09:58, MINE, mineral_copper, 1, +0, 2332
2026-09-21T15:09:58, MINE, mineral_copper, 1, +0, 2332
2026-09-21T15:15:52, MINE, mineral_silicon, 1, +0, 2332
2026-09-21T15:15:53, MINE, mineral_silicon, 1, +0, 2332
2026-09-21T15:22:41, MINE, mineral_iron, 1, +0, 2332
2026-09-21T15:22:41, MINE, mineral_iron, 1, +0, 2332
2026-09-21T15:22:45, MINE, mineral_iron, 1, +0, 2332
2026-09-21T15:22:51, MINE, mineral_chromium, 1, +0, 2332
2026-09-21T15:22:51, MINE, mineral_iron, 1, +0, 2332
2026-09-21T17:33:26, MINE, mineral_iron, 1, +0, 2332
2026-09-21T17:33:27, MINE, mineral_iron, 1, +0, 2332
2026-09-21T17:33:30, MINE, mineral_iron, 1, +0, 2332
2026-09-21T17:33:32, MINE, mineral_iron, 1, +0, 2332
2026-09-21T17:33:33, MINE, mineral_aluminium, 1, +0, 2332
2026-09-21T17:52:18, DROP, mineral_aluminium, 1, +0, 2332
2026-09-21T17:52:18, DROP, mineral_chromium, 1, +0, 2332
2026-09-21T17:52:18, DROP, mineral_copper, 2, +0, 2332
2026-09-21T17:52:18, DROP, mineral_iron, 9, +0, 2332
2026-09-21T17:52:18, DROP, mineral_silicon, 3, +0, 2332
2026-09-21T18:05:22, MINE, mineral_copper, 1, +0, 2332
2026-09-21T18:05:22, MINE, mineral_copper, 1, +0, 2332
2026-09-21T18:05:23, MINE, mineral_copper, 1, +0, 2332
2026-09-21T18:05:31, MINE, mineral_copper, 1, +0, 2332
2026-09-21T18:05:34, MINE, mineral_copper, 1, +0, 2332
2026-09-21T18:05:35, MINE, mineral_copper, 1, +0, 2332
2026-09-21T18:05:35, MINE, mineral_copper, 1, +0, 2332
2026-09-21T18:07:29, DROP, mineral_copper, 7, +0, 2332
2026-09-21T18:58:55, MINE, mineral_iron, 1, +0, 2332
2026-09-21T18:58:55, MINE, mineral_iron, 1, +0, 2332
2026-09-21T18:58:58, MINE, mineral_iron, 1, +0, 2332
2026-09-21T18:58:58, MINE, mineral_iron, 1, +0, 2332
2026-09-21T18:59:08, MINE, mineral_iron, 1, +0, 2332
2026-09-21T18:59:12, MINE, mineral_iron, 1, +0, 2332
2026-09-21T18:59:28, MINE, mineral_chromium, 1, +0, 2332
2026-09-21T18:59:32, MINE, mineral_chromium, 1, +0, 2332
2026-09-21T18:59:32, MINE, mineral_chromium, 1, +0, 2332
2026-09-21T18:59:33, MINE, mineral_chromium, 1, +0, 2332
2026-09-21T18:59:39, MINE, mineral_chromium, 1, +0, 2332
2026-09-21T18:59:45, MINE, mineral_iron, 1, +0, 2332
2026-09-21T18:59:46, MINE, mineral_iron, 1, +0, 2332
2026-09-21T18:59:46, MINE, mineral_iron, 1, +0, 2332
2026-09-21T18:59:53, MINE, mineral_silicon, 1, +0, 2332
2026-09-21T18:59:55, MINE, mineral_silicon, 1, +0, 2332
2026-09-21T18:59:55, MINE, mineral_silicon, 1, +0, 2332
2026-09-21T19:25:57, MINE, mineral_copper, 1, +0, 2332
2026-09-21T19:26:17, MINE, mineral_copper, 1, +0, 2332
2026-09-21T19:26:17, MINE, mineral_copper, 1, +0, 2332
2026-09-21T19:26:30, MINE, mineral_chromium, 1, +0, 2332
2026-09-21T19:26:31, MINE, mineral_chromium, 1, +0, 2332
2026-09-21T19:26:32, MINE, mineral_chromium, 1, +0, 2332
2026-09-21T19:26:36, MINE, mineral_chromium, 1, +0, 2332
2026-09-21T19:26:36, MINE, mineral_chromium, 1, +0, 2332
2026-09-21T19:26:40, MINE, mineral_chromium, 1, +0, 2332
2026-09-21T19:26:43, MINE, mineral_chromium, 1, +0, 2332
2026-09-21T19:26:44, MINE, mineral_aluminium, 1, +0, 2332
2026-09-21T19:26:44, MINE, mineral_aluminium, 1, +0, 2332
2026-09-21T19:26:54, MINE, mineral_chromium, 1, +0, 2332
2026-09-21T19:26:58, MINE, mineral_chromium, 1, +0, 2332
2026-09-21T19:26:58, MINE, mineral_chromium, 1, +0, 2332
2026-09-21T19:27:24, MINE, mineral_chromium, 1, +0, 2332
2026-09-21T19:27:24, MINE, mineral_chromium, 1, +0, 2332
2026-09-21T19:27:39, MINE, mineral_silicon, 1, +0, 2332
2026-09-21T19:27:44, MINE, mineral_silicon, 1, +0, 2332
2026-09-21T19:27:46, MINE, mineral_silicon, 1, +0, 2332
2026-09-21T19:27:56, MINE, mineral_chromium, 1, +0, 2332
2026-09-21T19:27:58, MINE, mineral_chromium, 1, +0, 2332
2026-09-21T19:28:07, MINE, mineral_iron, 1, +0, 2332
2026-09-21T19:28:32, REFINE, all, 36, -180, 2152
2026-09-21T19:28:34, SELL, mineral_iron, 1, +6, 2158
2026-09-21T19:28:34, SELL, mineral_chromium, 1, +6, 2164
2026-09-21T19:28:34, SELL, mineral_aluminium, 2, +54, 2218
2026-09-21T19:28:35, SELL, ingot_iron, 3, +159, 2377
2026-09-21T19:28:36, SELL, ingot_copper, 1, +85, 2462
2026-09-21T19:28:37, SELL, ingot_chromium, 6, +328, 2790
2026-09-21T19:28:38, SELL, ingot_silicon, 2, +143, 2933
2026-09-21T19:40:18, MINE, mineral_chromium, 1, +0, 2933
2026-09-21T19:50:56, MINE, mineral_copper, 1, +0, 2933
2026-09-21T19:50:57, MINE, mineral_copper, 1, +0, 2933
2026-09-21T19:51:11, MINE, mineral_silicon, 1, +0, 2933
2026-09-21T19:51:11, MINE, mineral_silicon, 1, +0, 2933
2026-09-21T19:51:13, MINE, mineral_silicon, 1, +0, 2933
2026-09-21T19:51:16, MINE, mineral_silicon, 1, +0, 2933
2026-09-21T19:51:21, MINE, mineral_silicon, 1, +0, 2933
2026-09-21T19:51:22, MINE, mineral_silicon, 1, +0, 2933
2026-09-21T19:51:26, MINE, mineral_silicon, 1, +0, 2933
2026-09-21T19:51:27, MINE, mineral_silicon, 1, +0, 2933
2026-09-21T19:51:28, MINE, mineral_silicon, 1, +0, 2933
2026-09-21T19:51:29, MINE, mineral_silicon, 1, +0, 2933
2026-09-21T19:51:49, MINE, mineral_iron, 1, +0, 2933
2026-09-21T19:51:52, MINE, mineral_iron, 1, +0, 2933
2026-09-21T20:01:44, DROP, mineral_chromium, 1, +0, 2933
2026-09-21T20:01:44, DROP, mineral_copper, 2, +0, 2933
2026-09-21T20:01:44, DROP, mineral_iron, 2, +0, 2933
2026-09-21T20:01:44, DROP, mineral_silicon, 10, +0, 2933
2026-09-21T21:06:13, AMMO, laser, 3, +0, 2933
2026-09-21T21:06:13, AMMO, laser, 5, +0, 2933
2026-09-21T21:06:17, AMMO, laser, 3, +0, 2933
2026-09-21T21:06:17, AMMO, laser, 5, +0, 2933
2026-09-21T21:06:30, AMMO, laser, 3, +0, 2933
2026-09-21T21:06:30, AMMO, laser, 5, +0, 2933
2026-09-21T21:07:05, AMMO, laser, 3, +0, 2933
2026-09-21T21:07:05, AMMO, laser, 5, +0, 2933
2026-09-21T21:11:53, AMMO, laser, 3, +0, 2933
2026-09-21T21:11:53, AMMO, laser, 5, +0, 2933
2026-09-21T21:12:16, AMMO, laser, 3, +0, 2933
2026-09-21T21:12:16, AMMO, laser, 5, +0, 2933
2026-09-21T21:14:02, AMMO, laser, 3, +0, 2933
2026-09-21T21:14:02, AMMO, laser, 5, +0, 2933
2026-09-21T21:15:35, AMMO, laser, 3, +0, 2933
2026-09-21T21:15:35, AMMO, laser, 5, +0, 2933
2026-09-21T21:18:31, AMMO, laser, 3, +0, 2933
2026-09-21T21:18:31, AMMO, laser, 5, +0, 2933
2026-09-21T21:42:05, AMMO, laser, 3, +0, 2933
2026-09-21T21:42:05, AMMO, laser, 5, +0, 2933
2026-09-21T21:46:28, AMMO, laser, 3, +0, 2933
2026-09-21T21:46:28, AMMO, laser, 5, +0, 2933
2026-09-21T21:48:44, AMMO, laser, 3, +0, 2933
2026-09-21T21:48:44, AMMO, laser, 5, +0, 2933
2026-09-21T21:50:59, AMMO, laser, 3, +0, 2933
2026-09-21T21:50:59, AMMO, laser, 5, +0, 2933
2026-09-21T21:51:08, AMMO, laser, 3, +0, 2933
2026-09-21T21:51:08, AMMO, laser, 5, +0, 2933
2026-09-21T21:52:11, AMMO, laser, 3, +0, 2933
2026-09-21T21:52:11, AMMO, laser, 5, +0, 2933
2026-09-21T21:52:17, AMMO, laser, 3, +0, 2933
2026-09-21T21:52:17, AMMO, laser, 5, +0, 2933
2026-09-21T21:52:24, AMMO, laser, 3, +0, 2933
2026-09-21T21:52:24, AMMO, laser, 5, +0, 2933
2026-09-21T21:56:53, AMMO, laser, 3, +0, 2933
2026-09-21T21:56:53, AMMO, laser, 5, +0, 2933
2026-09-21T22:03:11, AMMO, laser, 3, +0, 2933
2026-09-21T22:03:11, AMMO, laser, 5, +0, 2933
2026-09-21T22:05:13, AMMO, laser, 3, +0, 2933
2026-09-21T22:05:13, AMMO, laser, 5, +0, 2933
2026-09-21T22:08:13, AMMO, laser, 3, +0, 2933
2026-09-21T22:08:13, AMMO, laser, 5, +0, 2933
2026-09-21T22:08:34, AMMO, laser, 3, +0, 2933
2026-09-21T22:08:34, AMMO, laser, 5, +0, 2933
2026-09-21T22:18:56, AMMO, laser, 3, +0, 2933
2026-09-21T22:18:56, AMMO, laser, 5, +0, 2933
2026-09-21T22:19:16, AMMO, laser, 3, +0, 2933
2026-09-21T22:19:16, AMMO, laser, 5, +0, 2933
2026-09-21T22:30:46, AMMO, laser, 3, +0, 2933
2026-09-21T22:30:46, AMMO, laser, 5, +0, 2933
2026-09-21T22:33:52, AMMO, laser, 3, +0, 2933
2026-09-21T22:33:52, AMMO, laser, 5, +0, 2933
2026-09-21T22:38:08, AMMO, laser, 3, +0, 2933
2026-09-21T22:38:08, AMMO, laser, 5, +0, 2933
2026-09-21T22:40:45, AMMO, laser, 3, +0, 2933
2026-09-21T22:40:45, AMMO, laser, 5, +0, 2933
2026-09-21T22:40:49, AMMO, laser, 3, +0, 2933
2026-09-21T22:40:49, AMMO, laser, 5, +0, 2933
2026-09-21T22:45:24, AMMO, laser, 3, +0, 2933
2026-09-21T22:45:24, AMMO, laser, 5, +0, 2933
2026-09-21T22:49:45, AMMO, laser, 3, +0, 2933
2026-09-21T22:49:45, AMMO, laser, 5, +0, 2933
2026-09-21T22:51:19, AMMO, laser, 3, +0, 2933
2026-09-21T22:51:19, AMMO, laser, 5, +0, 2933
2026-09-21T22:52:03, AMMO, laser, 3, +0, 2933
2026-09-21T22:52:03, AMMO, laser, 5, +0, 2933
2026-09-21T22:53:16, AMMO, laser, 3, +0, 2933
2026-09-21T22:53:16, AMMO, laser, 5, +0, 2933
2026-09-21T23:07:27, AMMO, laser, 3, +0, 2933
2026-09-21T23:07:27, AMMO, laser, 5, +0, 2933
2026-09-21T23:13:06, BUY_MODULE, w_cannon, 1, -1200, 8800
2026-09-21T23:13:06, BUY_MODULE, w_rocket, 1, -2400, 6400
2026-09-21T23:13:06, BUY_MODULE, w_mine, 1, -1800, 4600
2026-09-21T23:13:06, BUY_MODULE, w_plasma, 1, -4800, 4800
2026-09-21T23:13:06, BUY_MODULE, w_plasma, 1, -4800, 0
2026-09-21T23:15:43, BUY_MODULE, w_cannon, 1, -1200, 8800
2026-09-21T23:15:43, BUY_MODULE, w_rocket, 1, -2400, 6400
2026-09-21T23:15:43, BUY_MODULE, w_mine, 1, -1800, 4600
2026-09-21T23:15:43, BUY_MODULE, w_mine, 1, -1800, 2800
2026-09-21T23:15:43, BUY_MODULE, w_plasma, 1, -4800, 3000
2026-09-21T23:15:43, BUY_MODULE, w_mine, 1, -1800, 3200
2026-09-21T23:16:27, BUY_MODULE, w_cannon, 1, -1200, 8800
2026-09-21T23:16:27, BUY_MODULE, w_rocket, 1, -2400, 6400
2026-09-21T23:16:27, BUY_MODULE, w_mine, 1, -1800, 4600
2026-09-21T23:16:27, BUY_MODULE, w_mine, 1, -1800, 2800
2026-09-21T23:16:27, BUY_MODULE, w_plasma, 1, -4800, 3000
2026-09-21T23:16:27, BUY_MODULE, w_mine, 1, -1800, 3200
2026-09-21T23:16:54, BUY_MODULE, w_cannon, 1, -1200, 8800
2026-09-21T23:16:54, BUY_MODULE, w_rocket, 1, -2400, 6400
2026-09-21T23:16:54, BUY_MODULE, w_mine, 1, -1800, 4600
2026-09-21T23:16:54, BUY_MODULE, w_mine, 1, -1800, 2800
2026-09-21T23:16:54, BUY_MODULE, w_plasma, 1, -4800, 3000
2026-09-21T23:16:54, BUY_MODULE, w_mine, 1, -1800, 3200
2026-09-21T23:17:18, BUY_MODULE, w_cannon, 1, -1200, 8800
2026-09-21T23:17:18, BUY_MODULE, w_rocket, 1, -2400, 6400
2026-09-21T23:17:18, BUY_MODULE, w_mine, 1, -1800, 4600
2026-09-21T23:17:18, BUY_MODULE, w_mine, 1, -1800, 2800
2026-09-21T23:17:18, BUY_MODULE, w_plasma, 1, -4800, 3000
2026-09-21T23:17:18, BUY_MODULE, w_mine, 1, -1800, 3200
2026-09-21T23:19:36, BUY_MODULE, w_cannon, 1, -1200, 8800
2026-09-21T23:19:36, BUY_MODULE, w_rocket, 1, -2400, 6400
2026-09-21T23:19:36, BUY_MODULE, w_mine, 1, -1800, 4600
2026-09-21T23:19:36, BUY_MODULE, w_plasma, 1, -4800, 4800
2026-09-21T23:19:36, BUY_MODULE, w_plasma, 1, -4800, 0
2026-09-21T23:19:36, BUY_MODULE, w_mine, 1, -1800, 200
2026-09-21T23:19:55, AMMO, laser, 3, +0, 2933
2026-09-21T23:19:55, AMMO, laser, 5, +0, 2933
2026-09-21T23:20:11, AMMO, laser, 3, +0, 2933
2026-09-21T23:20:11, AMMO, laser, 5, +0, 2933
2026-09-21T23:22:58, BUY_MODULE, w_cannon, 1, -1200, 8800
2026-09-21T23:22:58, BUY_MODULE, w_rocket, 1, -2400, 6400
2026-09-21T23:22:58, BUY_MODULE, w_mine, 1, -1800, 4600
2026-09-21T23:22:58, BUY_MODULE, w_plasma, 1, -4800, 5200
2026-09-21T23:22:58, BUY_MODULE, w_rocket, 1, -2400, 2800
2026-09-21T23:22:58, BUY_MODULE, w_mine, 1, -1800, 1000
2026-09-21T23:22:58, BUY_MODULE, w_cannon, 1, -1200, 8800
2026-09-21T23:22:58, BUY_MODULE, w_mine, 1, -1800, 7000
2026-09-21T23:22:58, BUY_MODULE, w_plasma, 1, -4800, 5200
2026-09-21T23:22:58, BUY_MODULE, w_plasma, 1, -4800, 400
2026-09-21T23:22:58, BUY_MODULE, w_railgun, 1, -5200, 4800
2026-09-21T23:23:25, BUY_MODULE, w_cannon, 1, -1200, 8800
2026-09-21T23:23:25, BUY_MODULE, w_rocket, 1, -2400, 6400
2026-09-21T23:23:25, BUY_MODULE, w_mine, 1, -1800, 4600
2026-09-21T23:23:25, BUY_MODULE, w_plasma, 1, -4800, 5200
2026-09-21T23:23:25, BUY_MODULE, w_rocket, 1, -2400, 2800
2026-09-21T23:23:25, BUY_MODULE, w_mine, 1, -1800, 1000
2026-09-21T23:23:25, BUY_MODULE, w_cannon, 1, -1200, 8800
2026-09-21T23:23:25, BUY_MODULE, w_mine, 1, -1800, 7000
2026-09-21T23:23:25, BUY_MODULE, w_plasma, 1, -4800, 5200
2026-09-21T23:23:25, BUY_MODULE, w_plasma, 1, -4800, 400
2026-09-21T23:23:25, BUY_MODULE, w_railgun, 1, -5200, 4800
2026-09-21T23:24:50, BUY_MODULE, w_cannon, 1, -1200, 8800
2026-09-21T23:24:50, BUY_MODULE, w_cannon, 1, -1200, 7600
2026-09-21T23:24:50, BUY_MODULE, w_rocket, 1, -2400, 5200
2026-09-21T23:24:50, BUY_MODULE, w_plasma, 1, -4800, 5200
2026-09-21T23:24:50, BUY_MODULE, w_rocket, 1, -2400, 2800
2026-09-21T23:24:50, BUY_MODULE, w_mine, 1, -1800, 1000
2026-09-21T23:24:50, BUY_MODULE, w_cannon, 1, -1200, 8800
2026-09-21T23:24:50, BUY_MODULE, w_mine, 1, -1800, 7000
2026-09-21T23:24:50, BUY_MODULE, w_plasma, 1, -4800, 5200
2026-09-21T23:24:50, BUY_MODULE, w_plasma, 1, -4800, 400
2026-09-21T23:24:50, BUY_MODULE, w_railgun, 1, -5200, 4800
2026-09-21T23:25:20, BUY_MODULE, w_cannon, 1, -1200, 8800
2026-09-21T23:25:20, BUY_MODULE, w_cannon, 1, -1200, 7600
2026-09-21T23:25:20, BUY_MODULE, w_rocket, 1, -2400, 5200
2026-09-21T23:25:20, BUY_MODULE, w_plasma, 1, -4800, 5200
2026-09-21T23:25:20, BUY_MODULE, w_rocket, 1, -2400, 2800
2026-09-21T23:25:20, BUY_MODULE, w_mine, 1, -1800, 1000
2026-09-21T23:25:20, BUY_MODULE, w_cannon, 1, -1200, 8800
2026-09-21T23:25:20, BUY_MODULE, w_mine, 1, -1800, 7000
2026-09-21T23:25:20, BUY_MODULE, w_plasma, 1, -4800, 5200
2026-09-21T23:25:20, BUY_MODULE, w_plasma, 1, -4800, 400
2026-09-21T23:25:20, BUY_MODULE, w_railgun, 1, -5200, 4800
2026-09-21T23:25:40, AMMO, laser, 3, +0, 2933
2026-09-21T23:25:40, AMMO, laser, 5, +0, 2933
2026-09-21T23:25:40, BUY_MODULE, w_cannon, 1, -1200, 8800
2026-09-21T23:25:40, BUY_MODULE, w_cannon, 1, -1200, 7600
2026-09-21T23:25:40, BUY_MODULE, w_rocket, 1, -2400, 5200
2026-09-21T23:25:40, BUY_MODULE, w_plasma, 1, -4800, 5200
2026-09-21T23:25:40, BUY_MODULE, w_rocket, 1, -2400, 2800
2026-09-21T23:25:40, BUY_MODULE, w_mine, 1, -1800, 1000
2026-09-21T23:25:40, BUY_MODULE, w_cannon, 1, -1200, 8800
2026-09-21T23:25:40, BUY_MODULE, w_mine, 1, -1800, 7000
2026-09-21T23:25:40, BUY_MODULE, w_plasma, 1, -4800, 5200
2026-09-21T23:25:40, BUY_MODULE, w_plasma, 1, -4800, 400
2026-09-21T23:25:40, BUY_MODULE, w_railgun, 1, -5200, 4800
2026-09-21T23:25:52, BUY_MODULE, w_cannon, 1, -1200, 8800
2026-09-21T23:25:52, BUY_MODULE, w_rocket, 1, -2400, 6400
2026-09-21T23:25:52, BUY_MODULE, w_mine, 1, -1800, 4600
2026-09-21T23:25:52, BUY_MODULE, w_plasma, 1, -4800, 4800
2026-09-21T23:25:52, BUY_MODULE, w_plasma, 1, -4800, 0
2026-09-21T23:25:53, BUY_MODULE, w_mine, 1, -1800, 200
2026-09-21T23:30:38, BUY_MODULE, w_cannon, 1, -1200, 8800
2026-09-21T23:30:38, BUY_MODULE, w_cannon, 1, -1200, 7600
2026-09-21T23:30:38, BUY_MODULE, w_rocket, 1, -2400, 5200
2026-09-21T23:30:38, BUY_MODULE, w_plasma, 1, -4800, 5200
2026-09-21T23:30:38, BUY_MODULE, w_rocket, 1, -2400, 2800
2026-09-21T23:30:38, BUY_MODULE, w_mine, 1, -1800, 1000
2026-09-21T23:30:38, BUY_MODULE, w_cannon, 1, -1200, 8800
2026-09-21T23:30:38, BUY_MODULE, w_mine, 1, -1800, 7000
2026-09-21T23:30:38, BUY_MODULE, w_plasma, 1, -4800, 5200
2026-09-21T23:30:38, BUY_MODULE, w_plasma, 1, -4800, 400
2026-09-21T23:30:38, BUY_MODULE, w_railgun, 1, -5200, 4800
2026-09-21T23:30:39, BUY_MODULE, w_cannon, 1, -1200, 8800
2026-09-21T23:30:39, BUY_MODULE, w_rocket, 1, -2400, 6400
2026-09-21T23:30:39, BUY_MODULE, w_mine, 1, -1800, 4600
2026-09-21T23:30:39, BUY_MODULE, w_plasma, 1, -4800, 4800
2026-09-21T23:30:39, BUY_MODULE, w_plasma, 1, -4800, 0
2026-09-21T23:30:39, BUY_MODULE, w_mine, 1, -1800, 200
2026-09-21T23:31:01, AMMO, laser, 3, +0, 2933
2026-09-21T23:31:01, AMMO, laser, 5, +0, 2933
2026-09-21T23:31:01, BUY_MODULE, w_cannon, 1, -1200, 8800
2026-09-21T23:31:01, BUY_MODULE, w_cannon, 1, -1200, 7600
2026-09-21T23:31:01, BUY_MODULE, w_rocket, 1, -2400, 5200
2026-09-21T23:31:01, BUY_MODULE, w_plasma, 1, -4800, 5200
2026-09-21T23:31:01, BUY_MODULE, w_rocket, 1, -2400, 2800
2026-09-21T23:31:01, BUY_MODULE, w_mine, 1, -1800, 1000
2026-09-21T23:31:01, BUY_MODULE, w_cannon, 1, -1200, 8800
2026-09-21T23:31:01, BUY_MODULE, w_mine, 1, -1800, 7000
2026-09-21T23:31:01, BUY_MODULE, w_plasma, 1, -4800, 5200
2026-09-21T23:31:01, BUY_MODULE, w_plasma, 1, -4800, 400
2026-09-21T23:31:01, BUY_MODULE, w_railgun, 1, -5200, 4800
2026-09-21T23:31:02, BUY_MODULE, w_cannon, 1, -1200, 8800
2026-09-21T23:31:02, BUY_MODULE, w_rocket, 1, -2400, 6400
2026-09-21T23:31:02, BUY_MODULE, w_mine, 1, -1800, 4600
2026-09-21T23:31:02, BUY_MODULE, w_plasma, 1, -4800, 4800
2026-09-21T23:31:02, BUY_MODULE, w_plasma, 1, -4800, 0
2026-09-21T23:31:02, BUY_MODULE, w_mine, 1, -1800, 200
2026-09-21T23:31:03, BUY_MODULE, w_cannon, 1, -1200, 8800
2026-09-21T23:31:03, BUY_MODULE, w_cannon, 1, -1200, 7600
2026-09-21T23:31:03, BUY_MODULE, w_rocket, 1, -2400, 5200
